time,RiverCity_Q,TroutLake_Q_out,TroutLake_Q_spill,TroutLake_Q_turbine,TroutLake_V
2000-01-01 00:00:00,11.441501,10.000000,0.000000,10.000000,616740918.800000
2000-02-01 00:00:00,21.452385,20.411557,0.000000,20.411557,592624889.059425
2000-03-01 00:00:00,23.481038,22.306652,0.000000,22.306652,567612719.333364
2000-04-01 00:00:00,23.481038,21.684918,0.000000,21.684918,575081074.830577
2000-05-01 00:00:00,20.848065,18.784830,0.000000,18.784830,619501641.000944
2000-06-01 00:00:00,19.890135,18.784830,0.000000,18.784830,629075736.015465
2000-07-01 00:00:00,15.013718,14.847923,0.000000,14.847923,629075736.696375
2000-08-01 00:00:00,14.480084,14.088622,0.000000,14.088622,616245534.345042
2000-09-01 00:00:00,14.185337,14.088622,0.000000,14.088622,588144357.447984
2000-10-01 00:00:00,7.044311,6.487054,0.000000,6.487054,582109285.587094
2000-11-01 00:00:00,7.044311,6.201517,0.000000,6.201517,589898164.168777
2000-12-01 00:00:00,7.044311,6.358101,0.000000,6.358101,600611106.963939
2001-01-01 00:00:00,11.061478,10.310792,0.000000,10.310792,604104048.503189
2001-02-01 00:00:00,23.481038,22.638243,0.000000,22.638243,579352868.322214
2001-03-01 00:00:00,23.481038,22.564556,0.000000,22.564556,565029962.407637
2001-04-01 00:00:00,23.481038,22.076380,0.000000,22.076380,583661671.604099
2001-05-01 00:00:00,23.481038,18.594671,0.000000,18.594671,629279430.259719
2001-06-01 00:00:00,16.266993,14.088622,0.000000,14.088622,661978441.750387
2001-07-01 00:00:00,14.774832,14.088622,0.000000,14.088622,652773247.364188
2001-08-01 00:00:00,14.130071,14.088622,0.000000,14.088622,629075736.056101
2001-09-01 00:00:00,14.553771,14.088622,0.000000,14.088622,595941798.654666
2001-10-01 00:00:00,7.044311,6.542319,0.000000,6.542319,579019920.330408
2001-11-01 00:00:00,7.044311,6.054143,0.000000,6.054143,570180952.853392
2001-12-01 00:00:00,7.044311,5.920585,0.000000,5.920585,568801423.391454
2002-01-01 00:00:00,7.044311,6.003483,0.000000,6.003483,573580513.964646
2002-02-01 00:00:00,7.044311,6.385734,0.000000,6.385734,581653102.271076
2002-03-01 00:00:00,7.044311,6.040326,0.000000,6.040326,590727107.340785
2002-04-01 00:00:00,7.044311,5.285035,0.000000,5.285035,619584503.452239
2002-05-01 00:00:00,14.912995,14.088622,0.000000,14.088622,625300918.971553
2002-06-01 00:00:00,14.931417,14.088622,0.000000,14.088622,619699142.390079
2002-07-01 00:00:00,14.185336,14.088622,0.000000,14.088622,602221407.493393
2002-08-01 00:00:00,14.240602,14.088622,0.000000,14.088622,566497078.586811
2002-09-01 00:00:00,14.595220,14.088622,0.000000,14.088622,534004571.420727
2002-10-01 00:00:00,7.044311,6.261387,0.000000,6.261387,524113755.634873
2002-11-01 00:00:00,7.044311,6.574557,0.000000,6.574557,514867726.583259
2002-12-01 00:00:00,7.044311,6.390339,0.000000,6.390339,510933617.432672
2003-01-01 00:00:00,7.044311,6.233755,0.000000,6.233755,510864975.272896
2003-02-01 00:00:00,7.044311,6.385734,0.000000,6.385734,520602815.053256
2003-03-01 00:00:00,7.044311,6.247571,0.000000,6.247571,532217074.589642
2003-04-01 00:00:00,9.438593,6.882576,0.000000,6.882576,559682052.578194
2003-05-01 00:00:00,20.755956,18.784830,0.000000,18.784830,588727392.198781
2003-06-01 00:00:00,20.207910,18.784830,0.000000,18.784830,589568167.442641
2003-07-01 00:00:00,19.867107,18.784830,0.000000,18.784830,618243450.842768
2003-08-01 00:00:00,19.567754,18.784830,0.000000,18.784830,629075736.015465
2003-09-01 00:00:00,17.534770,16.866982,0.000000,16.866982,623951596.767658
2003-10-01 00:00:00,16.777122,16.118545,0.000000,16.118545,620264214.961443
2003-11-01 00:00:00,21.492053,20.331483,0.000000,20.331483,605873091.869875
2003-12-01 00:00:00,23.481038,22.509291,0.000000,22.509291,580463987.751360
2004-01-01 00:00:00,23.481038,22.477053,0.000000,22.477053,551148784.260416
2004-02-01 00:00:00,23.481038,22.440209,0.000000,22.440209,522252977.429554
2004-03-01 00:00:00,23.481038,22.223754,0.000000,22.223754,506980042.683545
2004-04-01 00:00:00,23.481038,21.265823,0.000000,21.265823,557855958.114312
2004-05-01 00:00:00,21.819812,18.784830,0.000000,18.784830,629075735.587724
2004-06-01 00:00:00,19.383537,18.784830,0.000000,18.784830,642782121.718601
2004-07-01 00:00:00,14.088623,14.088623,0.000000,14.088623,629936053.588139
2004-08-01 00:00:00,14.189942,14.088622,0.000000,14.088622,603931860.305196
2004-09-01 00:00:00,14.364948,14.088622,0.000000,14.088622,574880873.221067
2004-10-01 00:00:00,7.044311,6.896937,0.000000,6.896937,565992789.583791
2004-11-01 00:00:00,7.044311,6.385734,0.000000,6.385734,561730180.269379
2004-12-01 00:00:00,7.044311,6.077170,0.000000,6.077170,567083281.007407
2005-01-01 00:00:00,7.044311,6.077170,0.000000,6.077170,572614818.223277
